brand,headline,body,landing_url,first_seen,last_seen,region,source_url,captured_by,platform
lululemon,Wunder Train Gloves | Women's Gloves & Mittens & Cold Weather,Lightweight And Bulk-Free Warmth For Those Cooler Days And Adventures. Shop Now.,shop.lululemon.com,,,US,https://adstransparency.google.com/advertiser/AR01614014350098432001/creative/CR17426733372914270209?region=US,claude-browser,google_search
lululemon,Pants & Shorts For Everyday - Sleek Fit. All-Day Comfort.,"Smart Details. Stretchy Fabrics. When Spring's Pace Picks Up, These Pairs Stay On Point.",shop.lululemon.com/mens/bottoms,,,US,https://adstransparency.google.com/advertiser/AR01614014350098432001/creative/CR12238366038432940033?region=US,claude-browser,google_search
lululemon,lululemon® Official Site - Strappy Sports Bras Are In,"In Bras This Soft, Stretchy, And Supportive, You're Going Lots Of Places. New Styles Weekly. Summer Collection Out Now. 2-Hour Pickup In-store. Free Hemming.",shop.lululemon.com/women's/sports-bras,,,US,https://adstransparency.google.com/advertiser/AR01614014350098432001/creative/CR02124933798385680385?region=US,claude-browser,google_search
lululemon,Meet lululemon Like New - Trade In Your Gear For Credit,"With lululemon Like New, You Can Trade In Gear For Credit & Discover Gently Used Gear.",likenew.lululemon.com/lululemon/like-new,,,US,https://adstransparency.google.com/advertiser/AR01614014350098432001/creative/CR13089407082216554497?region=US,claude-browser,google_search
lululemon,Men's Sweatpants | lululemon,"Sweatpants For The Win. Our Comfiest Styles Come In Different Lengths And Fits. Warm Up, Cool Down, Lounge Around. Discover Comfortable Sweatpants For Any Activity.",shop.lululemon.com,,,US,https://adstransparency.google.com/advertiser/AR01614014350098432001/creative/CR16345465546440966145?region=US,claude-browser,google_search
lululemon,ABC Relaxed-Fit Trouser 32L Corduroy,"Our Trousers Wick Away Sweat And Have Stretch, So You Can Enjoy The All-Day Comfort. From Office Hours To Happy Hour, These Trousers Are Designed To Keep Up.",shop.lululemon.com,,,US,https://adstransparency.google.com/advertiser/AR01614014350098432001/creative/CR03125160058749452289?region=US,claude-browser,google_search
lululemon,The Like New Resale Shop - New Life For Gently Used Gear,Shop Like New And Find Men's & Women's Gently Worn Secondhand Gear. Available Online.,likenew.lululemon.com/lululemon/like-new,,,US,https://adstransparency.google.com/advertiser/AR01614014350098432001/creative/CR10804997394328977409?region=US,claude-browser,google_search
lululemon,Plus Size Women's Clothing - lululemon® Plus Size Clothing,Look And Feel Your Best In Gear Designed To Take You To The Next Level. Get Free Shipping!,shop.lululemon.com/women's/plus-size-gear,,,US,https://adstransparency.google.com/advertiser/AR01614014350098432001/creative/CR00190577542988562433?region=US,claude-browser,google_search
lululemon,Pairs That Go With Winter - Fresh Winter Fits,"Head Indoors? Nope, Not When You're In Wind-Resistant Pairs That Shift With The Season.",shop.lululemon.com/womens/bottoms,,,US,https://adstransparency.google.com/advertiser/AR01614014350098432001/creative/CR06765649646795620353?region=US,claude-browser,google_search
lululemon,lululemon® Official Site - Shop lululemon® Shorts - New Shorts,"Designed To Look Like Your Favorite Shorts, Feels Even Better. New Shorts, New Energy. Types: Athletic Shorts, Liner Shorts, Chino Shorts, Sweat Shorts, Running Shorts.",shop.lululemon.com/new/shorts,,,US,https://adstransparency.google.com/advertiser/AR01614014350098432001/creative/CR18246378497821900801?region=US,claude-browser,google_search
Gymshark,Gymshark Official Site - The Gym Is Everything We Do,Achieve Your Best In & Out Of The Gym With Our High Quality Products & Unrivalled Design.,www.gymshark.com,,,US,https://adstransparency.google.com/advertiser/AR01822115136316375041?region=US&format=TEXT,claude-browser,google_search
Gymshark,The Perfect Gym Styles - We're The Gymwear Brand - Gymshark,"However You Gym, We've Got The Clothes, Accessories & Community For You. Shop Gymshark Gym Apparel, Available In A Range Of Colors & Styles.",www.gymshark.com,,,US,https://adstransparency.google.com/advertiser/AR01822115136316375041?region=US&format=TEXT,claude-browser,google_search
Gymshark,Gymshark Official Store - Gym Clothes Store,"Unlock your full potential with our game-changing workout clothes Shop gym clothing for the gym, running & everything in-between. New Releases. Free Returns.",www.gymshark.com,,,US,https://adstransparency.google.com/advertiser/AR01822115136316375041?region=US&format=TEXT,claude-browser,google_search
Gymshark,Socks Are We Supposed To Be Wearing? The Great Gen Z Debate,"Are ankle socks out of style? TikTok might be telling you they are a millennial giveaway, read on to find out whether it's time to swap them out for Crew socks.",eu.gymshark.com,,,US,https://adstransparency.google.com/advertiser/AR01822115136316375041?region=US&format=TEXT,claude-browser,google_search
Gymshark,Short Length Guide - Learn to measure the inseam,"Find the perfect short length with our guide, learn to measure the inseam, choose a short length based on activity, and more",row.gymshark.com,,,US,https://adstransparency.google.com/advertiser/AR01822115136316375041?region=US&format=TEXT,claude-browser,google_search
